x1 x2 x3 x4 district y
1.74 0.07 -0.377770863493525 0.782021274748159 10 2.27336170148227
2.84 0.16 -0.155176108436554 0.800453875171852 16 -0.468162335796047
0.42 0.25 0.137767391788204 1.11528648990662 7 7.80934728072436
0.78 0.3 1.17073041386613 0.793475587984779 17 16.9949407749780
2.35 0.54 -0.869070748674442 0.0854785438085082 16 -6.4346079167425
2.25 0.72 1.96761193236568 0.329598928801715 8 20.9715848495753
-2.97 0.4 -0.144071141706739 2.83049607493577 17 14.8344539169070
-2.7 0.76 -1.43073908808453 0.153879038378773 16 -14.4414138411678
1.62 0.54 -0.258883771746765 0.0698663024231791 14 -2.17729544272098
0.05 0.15 -0.375071064075109 2.72077533403847 10 11.3149488265641
1.69 0.98 -0.237688452023175 1.86562999888303 3 7.94358626557599
1.46 0.68 1.45763858704565 1.39702235854017 6 19.4833303099824
0.05 0.71 1.57142089161153 1.98593961997869 1 25.6978739521215
0.98 0.62 -2.28594007555756 0.415152977090392 16 -18.1289957427404
-2.95 0.16 -0.514640836301517 0.167678422585303 10 -2.70808335730403
0.86 0.06 -0.147394767887869 0.784283809321833 17 4.86454378780818
-1.54 0.89 1.84334589982617 0.002804677374648 12 17.4079571357115
-2.46 0.46 -0.161037058216116 0.472152285702363 8 2.33187047256833
2.74 0.02 0.102187415014172 1.20892176307262 20 5.01260891874401
-2.44 0.64 1.45730490832153 0.342247567203238 14 16.9541748771610
-0.02 0.36 -0.169054879434986 1.11290493696452 3 4.61497875068665
0.16 0.97 -0.511785510281465 6.67831919863265 7 30.8525979178496
1.06 0.43 -0.141931840091946 1.24591947994651 11 4.03822465905442
-1 0.23 0.318473154926311 0.182156114329347 8 3.05068051397754
1.3 0.96 -0.310186102324826 1.61052836469355 12 3.70000622269616
-3.11 0.21 -0.0837468013085031 0.649876720272005 4 0.0547555982215271
2.5 0.39 0.131646209055931 1.18916064776005 10 6.92891229985088
1.35 0.96 -1.44286132452707 0.846094676251424 10 -10.5349256344454
-2.19 0 0.48136626931557 0.806223712642054 9 10.6587252162283
